3dmodels,blendswap-cc0,BlendSwap-CC-0,1.9.3,2,9096c2125457d144f05c5a1b1208a877873cccc8,custom:CC-0
3dmodels,blendswap-ccby,BlendSwap-CC-BY,1.9.3,2,a88664fb01927bcd1feed63aec7c9b36ad4e9448,custom:CC-BY
3dmodels,contributions,Contributions,1.9.3,2,b972502cdd9b61b8435ae122c1ff4b5b5629c9f1,custom:FreeArtLicence
3dmodels,katorlegaz,KatorLegaz,1.9.3,2,e5b49e9a791ff6e03363b52be05468606a0cb6c1,custom:CC-BY
3dmodels,lucapresidente,LucaPresidente,1.9.3,2,e3a007963b42da6720a5521c09be1a4a19676548,custom:FreeArtLicence
3dmodels,reallusion,Reallusion,1.9.3,2,b7aefa8fcb0fa4153d8cdb41fd05b6a6e16e9a4b,custom:CC-BY
3dmodels,scopia,Scopia,1.9.3,2,f6927008c33c8778864089cfe334ff6ec4eeb954,custom:CC-BY
3dmodels,trees,Trees,1.9.3,2,625766a45e845212d473fbffb97f1bc03696c00e,custom:FreeArtLicence
textures,contributions,Contributions,1.3.1,2,99adeb37de2d8aa8775c5156ecf1693a9f28b9aa,custom:CC-BY
textures,scopia,eTeksScopia,1.3.1,2,1603116083b29dd1c886403ab4b84d2355ef5bd5,custom:CC-BY
